"Cota";"Area"
10;50311,835
10,5;51336,705
11;52366,88
11,5;53400,49
12;54439,47
12,5;55481,135
13;56527,275
13,5;57576,815
14;58631,64
14,5;59692,985
15;60763,14
15,5;61845,96
16;62943,565
16,5;64068,585
17;65257,145
17,5;66492,725
18;67744,1
18,5;69007,665
19;70278,7
19,5;71556,89
20;72847,905
20,5;74149,905
21;75455,155
21,5;76767,655
22;78083,405
22,5;79406,405
23;80732,405
23,5;82065,655
24;83402,155
24,5;84745,14
25;86092,64
25,5;87444,585
26;88801,195
26,5;90161,825
27;91525,455
27,5;92895,274
28;94265,544
28,5;95642,0065
29;97018,474
29,5;98400,9615
30;99783,449
