cota;vazao;;COTA INTERPOLADA Manaus;cota (original medição);area;vm;metodo;data;DIA;0,2917;cota_D_7h;cota_D+1_7h;Cota_Paricatuba;comentario;fonte;operador;local
2962;57478;;2962;2993;99384;0,58;;10/05/2012 10:46;10/05/2012 00:00;0,157;2962;2964,5;0;;banco cprm 14990000;;
2965;44786;;2965;2993;99420;0,45;;25/06/2015 12:47;25/06/2015 00:00;0,241;2965;2965;2993;;banco cprm 14911000;;
2974;60450;;2974;2974;100800;0,599702358;ADCP 300 KHz;05/07/2009 13:00;05/07/2009 00:00;0,250;2974;2973;0;BT --> 2 BT ( cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2946;49722;;2946;2973;100165;0,496;;17/06/2014 14:34;17/06/2014 00:00;0,315;2946;2945;0;;banco cprm 14911000;;
2972;56400;;2972;2972;101000;0,55841583;ADCP 300 KHz;26/06/2009 14:00;26/06/2009 00:00;0,292;2972;2973;0;BT --> 2 BT (20 cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2969;52280;;2969;2969;102000;0,512549043;ADCP 300 KHz;24/06/2009 12:00;24/06/2009 00:00;0,208;2969;2971;0;BT --> 2 BT ( cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2923;57600;;2923;2954;99267;0,58;4 - ADCP RiverRay de 600 kHz;08/06/2019 11:42;08/06/2019 00:00;0,196;2922;2925;2954;;banco cprm 14911000;Itani e Nailde;
2921;37849;;2921;2949;98592;0,38;;26/05/2015 08:31;26/05/2015 00:00;0,063;2921;2924;2949,5;;banco cprm 14911000;;
2919;47201;;2919;2947;97788;0,483;;24/07/2015 09:07;24/07/2015 00:00;0,088;2919;2916;2946,5;;banco cprm 14911000;;
2913;47038;;2913;2941;98784;0,476;;25/05/2014 08:51;25/05/2014 00:00;0,077;2913;2919;0;;banco cprm 14911000;;
2932;37210;;2932;2932;99900;0,372472465;ADCP 300 KHz;12/06/2009 10:00;12/06/2009 00:00;0,125;2932;2936;0;BT --> 4 BT ( cm/s) | Cote de Manaus;hydraccess;CPRM;paricatuba
2930;58329;;2930;2930;99213;0,59;;19/06/2013 14:14;19/06/2013 00:00;0,301;2930,5;2928,5;0;;banco cprm 14990000;;
2923;57600;;2923;2922;99267;0,58;4 - ADCP RiverRay de 600 kHz;08/06/2019 11:42;08/06/2019 00:00;0,196;2922;2925;2954;;banco cprm 14990000;Itani e Nailde;
2888;48964;;2888;2917;98024;0,5;8 - ADCP Workhorse Rio Grande de 600 kHz;13/06/2017 15:10;13/06/2017 00:00;0,340;2889;2887;2917,5;;banco cprm 14911000;Patricia Soterio;
2911;31960;;2911;2911;97900;0,326455563;ADCP 300 KHz;26/05/2009 06:30;26/05/2009 00:00;-0,021;2911;2911;0;"BT --> 2 BT ( cm/s) | Cote de Manaus; date douteuse";hydraccess;CPRM;paricatuba
