Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:15400000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
15400000;1;14/02/2020;01/01/1900 07:26:00;1;1529;35800;22750,9;852,10;1,580;26,70;;;;Eyck Fonseca, Fernanda Petry e Edcarlos Bezerra;7;
15400000;1;13/11/2019;01/01/1900 11:50:00;1;360;5930;13118;793,40;0,453;16,53;;;;Wlady, Joana e Edcarlos;4;
15400000;1;09/10/2019;01/01/1900 13:16:00;1;232;3740;11854;805,50;0,316;14,72;;;;Wlady;4;
15400000;1;24/07/2019;01/01/1900 11:30:00;1;628;10100;15117;788,90;0,670;19,16;;;;Wladimir e Edcarlos;4;
15400000;1;21/06/2019;01/01/1900 12:25:00;1;1125;21900;18655;829,20;1,180;22,50;;;;Wladimir Gomes;7;
15400000;1;29/04/2019;01/01/1900 15:27:00;1;1446;31400;20610;839,80;1,530;24,57;;;;Wladimir Ribeiro e Edcarlos Bezerra;8;
15400000;1;08/03/2019;01/01/1900 11:52:00;1;1730;44100;23505,801;871,60;1,880;26,97;;;;Wladimir Gomes e Edcarlos Bezerra;8;
15400000;1;22/02/2019;01/01/1900 13:20:00;1;1670;41600;22701;830,50;1,840;27,33;;;;Wlady e Edcarlos;4;
15400000;1;17/12/2018;01/01/1900 12:18:00;1;762;13500;15138;824,30;0,895;18,40;;;;CPRM, ANA e USGS;4;
15400000;1;17/11/2018;01/01/1900 12:18:00;1;762;13500;15138;824,30;0,895;18,40;;;;CPRM, ANA e USGS;4;
15400000;1;17/11/2018;01/01/1900 16:00:00;2;762;12365;12960;806,00;1,000;16,10;;;;cprm/ana/usgs;16;
15400000;1;17/11/2018;01/01/1900 10:00:00;3;762;13600;14989;811,00;0,910;18,50;;;;cprm/ana/usgs;4;
15400000;1;17/11/2018;01/01/1900 15:00:00;4;762;12500;15019;932,00;0,830;18,10;;;;cprm/ana/usgs;4;
15400000;1;17/11/2018;01/01/1900 12:00:00;5;762;13200;14973;821,00;0,880;18,20;;;;cprm/ana/usgs;4;
15400000;1;26/10/2018;01/01/1900 10:36:00;1;430;6680;12531,8;797,20;0,534;15,72;;;;Wladimir Ribeiro e Edcarlos Bezerra;4;
15400000;1;07/08/2018;01/01/1900 13:28:00;1;360;5030;11189,5;736,00;0,451;15,20;;;;Wladimir Ribeiro e Sebastião Bezerra;4;
15400000;1;26/06/2018;01/01/1900 16:48:00;1;881;15400;16683,6;814,10;0,925;20,50;;;;Wladimir e Edcarlos;4;
15400000;1;16/04/2018;01/01/1900 14:00:00;6;1594;36900;21891;843,00;1,680;26,00;;;;Joana Cavalcante e Wladmir Ribeiro;7;
15400000;1;16/04/2018;01/01/1900 14:00:00;7;1594;34200;21808;843,70;1,570;25,84;;;;Joana Cavalcante e Wladmir Ribeiro;3;
15400000;1;13/04/2018;01/01/1900 12:00:00;5;1621;37300;22240;844,00;1,680;26,40;;;;Joana, Wladimir e Edcarlos;4;
15400000;1;10/04/2018;01/01/1900 11:45:00;3;1655;38500;22603,6;846,70;1,710;26,70;;;;Joana Angelica, Wladimir Gomes e Edcarlos Bezerra;7;
15400000;1;10/04/2018;01/01/1900 12:00:00;4;1655;39600;22861;846,00;1,730;27,00;;;;Joana, Wladmir e Edcarlos;7;
15400000;1;06/04/2018;01/01/1900 16:05:00;2;1614;37600;22380,9;844,00;1,680;26,52;;;;Iago Barbosa e Edcarlos Bezerra;7;
15400000;1;03/04/2018;01/01/1900 16:32:00;1;1641;39200;22450,301;846,10;1,750;26,53;;;;Iago Barbosa e Edcarlos Bezerra;4;
15400000;1;26/03/2018;01/01/1900 12:00:00;15;1651;39284;;;;;;;;Cleider e Manuel Jr;4;
15400000;1;26/03/2018;01/01/1900 12:00:00;16;1651;40208;;;;;;;;Cleider e Manuel Jr;7;
15400000;1;26/03/2018;01/01/1900 15:35:00;9;1658;40400;22551;848,80;1,790;26,60;;;;Iago Silva e Edcarlos Bezerra;7;
15400000;1;26/03/2018;01/01/1900 13:14:00;8;1658;39200;22106;842,10;1,770;26,30;;;;Iago Silva e Edcarlos Bezerra;4;
15400000;1;23/03/2018;01/01/1900 10:44:00;7;1635;40300;22436;843,60;1,790;26,60;;;;Iago Silva e Edcarlos Bezerra;7;
15400000;1;23/03/2018;01/01/1900 12:00:00;12;1635;40252;;;;;;;;Cleider e Manuel Jr;7;
15400000;1;22/03/2018;01/01/1900 12:00:00;12;1627;37562;;;;;;;;Cleider e Manuel Jr;4;
15400000;1;22/03/2018;01/01/1900 16:42:00;6;1627;37600;22035;843,30;1,700;26,10;;;;Iago Silva e Edcarlos Bezerra;4;
15400000;1;19/03/2018;01/01/1900 16:09:00;5;1601;36700;21775;843,50;1,680;25,80;;;;Iago Silva e Edcarlos Bezerra;4;
15400000;1;19/03/2018;01/01/1900 12:00:00;12;1601;36674;;;;;;;;Cleider e Manuel Jr;4;
15400000;1;14/03/2018;01/01/1900 12:00:00;12;1600;36700;;;;;;;;Cleider e Manuel Jr;4;
15400000;1;14/03/2018;01/01/1900 10:03:00;4;1600;37100;21698;839,70;1,710;25,80;;;;Iago Silva e Edcarlos Bezerra;4;
15400000;1;12/03/2018;01/01/1900 11:30:00;11;1584;35900;;;;;;;;Cleider e Manuel Jr;4;
15400000;1;12/03/2018;01/01/1900 11:18:00;3;1584;35900;21818;846,20;1,640;25,80;;;;Iago Silva e Edcarlos Bezerra;4;
15400000;1;07/03/2018;01/01/1900 14:30:00;10;1610;36900;;;;;;;;Cleider e Manuel Jr;4;
15400000;1;07/03/2018;01/01/1900 15:20:00;2;1610;36900;21839;838,80;1,690;26,00;;;;Iago Silva e Edcarlos Bezerra;4;
15400000;1;05/03/2018;01/01/1900 11:54:00;1;1613;37400;21792;840,40;1,720;25,90;;;;Iago Barbosa e Edcarlos Bezerra;4;
15400000;1;05/03/2018;01/01/1900 11:30:00;9;1613;37400;21813;841,30;1,720;25,93;;;;Cleider e Manuel Jr;4;
15400000;1;05/03/2018;01/01/1900 11:54:00;2;1613;37400;21792;840,40;1,720;25,90;;;;Iago Barbosa e Edcarlos Bezerra;4;
15400000;1;21/02/2018;01/01/1900 12:55:00;7;1612;37058;21543;843,88;1,720;25,53;;;;Cleider e Manuel Jr;4;
15400000;1;21/02/2018;01/01/1900 12:50:00;4;1612;37100;21543;843,90;1,720;25,52;;;;Cleider Pires e Manoel Jr;4;
15400000;1;05/02/2018;01/01/1900 12:27:00;1;1469;32900;20649;840,70;1,600;24,60;;;;Cleider Pires e Sebastião Bezerra;4;
15400000;1;07/12/2017;01/01/1900 10:50:00;1;847;14677;15266;825,80;0,962;18,48;;;;Joana e Iago;1;
15400000;1;07/12/2017;01/01/1900 10:34:00;6;847;14700;15266,4;825,80;0,962;18,50;;;;Iago Barbosa e Joana Pinheiro;4;
15400000;1;10/10/2017;01/01/1900 14:02:00;5;285;4250;10847,9;820,50;0,392;13,20;;;;Iago Barbosa e Daniel Carvalho;7;
15400000;1;10/10/2017;01/01/1900 14:00:00;1;285;4250;10848;820,50;0,392;13,22;;;;Daniel e Iago;14;
15400000;1;20/07/2017;01/01/1900 14:02:00;1;612;10800;13709,1;817,40;0,787;16,77;;;;Daniel e Wladimir;8;
15400000;1;12/05/2017;01/01/1900 10:38:00;1;1276;25000;19079,301;824,20;1,310;23,10;;;;;8;
15400000;1;04/04/2017;01/01/1900 11:53:00;2;1464;31200;21032,4;857,30;1,490;24,50;;;;Giancarlo e Sabá;8;
15400000;1;31/01/2017;01/01/1900 11:22:00;1;1167;22400;17391;827,70;1,290;21,00;;;;;;
15400000;1;23/09/2016;01/01/1900 11:10:00;346;206;3068;9814;786,04;0,313;12,49;;;;;;
15400000;1;09/09/2016;01/01/1900 10:56:00;1;256;3732,89;10453,8;786,70;0,355;13,30;;;;;;
15400000;1;20/06/2016;01/01/1900 10:00:00;1;683;10600;13969;802,90;0,759;17,40;;;;;;
15400000;1;02/03/2016;01/01/1900 11:03:00;344;1439;32874;20254;832,00;1,623;24,33;;;;;;
15400000;1;15/09/2015;01/01/1900 10:55:00;343;460;6523;11777;797,00;0,554;14,78;;;;;;
15400000;1;01/06/2015;01/01/1900 10:15:00;342;1527;33100;20579;833,60;1,610;24,70;;;;;;
15400000;1;01/04/2015;01/01/1900 08:40:00;379;1590;36300;21253;846,00;1,706;25,12;;;;;;
15400000;1;20/02/2015;01/01/1900 14:30:00;341;1587;37900;21252;856,00;1,780;0,40;;;;;;
15400000;1;20/02/2015;01/01/1900 10:00:00;378;1587;37900;21317;856,00;1,880;24,90;;;;;;
15400000;1;04/02/2015;01/01/1900 11:15:00;377;1549;37600;21104;840,00;1,780;25,11;;;;;;
15400000;1;02/02/2015;01/01/1900 10:00:00;378;1546;35300;;;;;;;;;;
15400000;1;28/01/2015;01/01/1900 10:00:00;378;1537;35800;;;;;;;;;;
15400000;1;17/07/2014;01/01/1900 09:44:00;339;1168;21600;17186;825,30;1,260;20,82;;;;;;
15400000;1;28/05/2014;01/01/1900 10:00:00;375;1617;37600;21316;885,00;1,770;25,00;;;;;;
15400000;1;23/05/2014;01/01/1900 09:00:00;374;1628;38000;20631;823,00;1,840;25,00;;;;;;
15400000;1;07/05/2014;01/01/1900 09:00:00;373;1728;43102;21621;849,00;1,940;25,50;;;;;;
15400000;1;25/04/2014;01/01/1900 09:00:00;372;1764;42009;21529;862,00;2,070;25,00;;;;;;
15400000;1;23/04/2014;01/01/1900 09:00:00;371;1794;40700;21537;845,00;2,000;25,50;;;;;;
15400000;1;19/04/2014;01/01/1900 08:45:00;370;1824;47722;22204;843,00;2,230;26,40;;;;;;
15400000;1;12/04/2014;01/01/1900 09:00:00;369;1930;54768;28695;1283,00;2,360;22,40;;;;;;
15400000;1;05/04/2014;01/01/1900 09:00:00;368;1951;57552;24280;1054,00;2,370;23,40;;;;;;
15400000;1;01/04/2014;01/01/1900 09:00:00;367;1963;57150;33860;1227,00;1,750;27,60;;;;;;
15400000;1;28/03/2014;01/01/1900 09:17:00;366;1966;60066;24850;1110,00;2,420;22,40;;;;;;
15400000;1;27/03/2014;01/01/1900 09:13:00;365;1964;59986;24060;998,00;2,500;24,10;;;;;;
15400000;1;23/03/2014;01/01/1900 08:52:00;364;1948;59194;23885;1082,00;2,330;22,10;;;;;;
15400000;1;21/03/2014;01/01/1900 09:05:00;363;1936;57231;23563;985,60;2,440;23,90;;;;;;
15400000;1;20/03/2014;01/01/1900 09:00:00;362;1931;55786;23410;992,00;2,380;23,61;;;;;;
15400000;1;19/03/2014;01/01/1900 09:02:00;361;1923;54228;23470;1051,00;2,300;22,40;;;;;;
15400000;1;18/03/2014;01/01/1900 08:52:00;360;1916;55126;24234;1011,00;2,250;24,00;;;;;;
15400000;1;15/03/2014;01/01/1900 09:10:00;359;1911;55272;26200;1204,00;2,140;21,80;;;;;;
15400000;1;14/03/2014;01/01/1900 09:20:00;358;1909;53798;22763;982,00;2,400;35,00;;;;;;
15400000;1;13/03/2014;01/01/1900 09:29:00;357;1908;53822;23423;1011,50;2,300;23,20;;;;;;
15400000;1;12/03/2014;01/01/1900 09:07:00;356;1908;56063;23341;966,00;2,410;24,20;;;;;;
15400000;1;11/03/2014;01/01/1900 09:18:00;355;1902;56068;24155;1014,00;2,380;23,80;;;;;;
15400000;1;10/03/2014;01/01/1900 09:02:00;354;1898;55090;23528;971,00;2,330;24,20;;;;;;
15400000;1;09/03/2014;01/01/1900 10:33:00;353;1898;55642;24101;990,00;2,360;24,30;;;;;;
