Distância (m);Cota (m)
0,00;30
0,05;28,9
0,10;27,8
3;27,08
4;26,79
9;25,68
10;25,13
15;24,43
18;24
26;23
34;22
42;21
50;20
55;19,42
57;19,27
61;19,58
64;19,86
66;19,85
69;19,84
73;19,71
77;19,6
81;19,37
85;19,1
87;18,86
90;18,59
94;18,38
97;18,24
100;18,11
104;18
107;17,87
113;17,69
115;17,64
118;17,59
122;17,51
125;17,48
127;17,47
131;17,42
134;17,41
138;17,35
142;17,31
143;17,3
147;17,22
151;17,12
155;17,03
159;16,83
163;16,58
167;16,34
171;16,07
175;15,68
179;15,29
183;14,91
186;14,61
189;14,28
190;14,18
194;13,36
198;12,53
202;11,47
207;10,36
210;9,7
211;9,24
215;8,31
218;7,48
220;6,96
221;6,68
225;5,79
226;5,19
230;4,3
231;3,83
235;2,91
236;2,55
240;1,43
242;1,28
245;0,4
247;0,02
251;-0,62
252;-0,94
256;-1,69
259;-2,14
262;-2,53
263;-2,61
268;-3,28
270;-3,45
273;-4,15
276;-4,25
278;-4,49
281;-4,85
282;-5,1
286;-5,36
287;-5,25
291;-5,71
293;-6,1
294;-6,44
298;-6,8
299;-6,75
303;-7,17
305;-7,22
308;-7,46
310;-7,61
314;-8,09
315;-8,19
319;-8,52
321;-8,57
324;-8,87
326;-9,08
330;-9,57
332;-9,66
335;-9,98
337;-10,31
341;-10,8
343;-11,14
346;-11,88
348;-12,29
352;-12,66
354;-12,76
358;-13,1
360;-13,44
364;-14,03
366;-14,17
370;-14,94
371;-15,35
376;-16,13
378;-16,79
380;-17,1
382;-17,29
384;-17,44
386;-17,53
388;-17,68
390;-17,84
392;-18,02
394;-18,14
396;-18,22
398;-18,3
401;-18,45
403;-18,45
405;-18,84
407;-19,03
409;-19,57
411;-20,03
413;-20,15
416;-20,23
418;-20,34
420;-20,38
423;-20,46
425;-20,5
427;-20,57
429;-20,65
432;-20,81
434;-20,99
436;-20,96
438;-20,96
441;-20,96
443;-21,11
445;-21,07
448;-20,95
450;-20,95
452;-20,87
454;-20,98
457;-20,98
459;-20,79
461;-20,9
463;-20,71
466;-20,83
468;-20,75
471;-20,83
473;-20,98
475;-20,94
478;-20,79
480;-20,83
482;-20,91
484;-20,94
487;-20,87
489;-20,68
491;-20,6
493;-20,84
496;-20,69
498;-20,61
500;-20,69
503;-20,8
505;-20,77
507;-20,61
509;-20,65
512;-20,96
514;-20,8
516;-21,03
519;-20,95
521;-20,96
523;-21,19
525;-21,38
528;-21,26
530;-21,61
533;-21,61
535;-21,61
537;-21,73
540;-21,65
542;-21,73
544;-21,8
547;-21,88
549;-21,69
551;-21,8
554;-21,88
556;-21,88
558;-21,99
560;-21,92
563;-21,95
565;-22,1
567;-22,22
570;-21,99
572;-21,95
574;-22,11
577;-22,26
579;-22,06
581;-22,22
584;-22,11
586;-22,22
588;-22,14
590;-22,33
593;-22,22
595;-22,18
597;-22,18
600;-22,18
602;-22,1
604;-22,1
606;-21,95
609;-22,02
611;-22,03
614;-22,1
616;-21,68
618;-21,75
621;-21,64
623;-21,75
625;-21,56
627;-21,63
630;-21,4
632;-21,33
634;-21,36
637;-21,37
639;-21,1
641;-20,99
643;-21,02
646;-20,98
648;-20,95
650;-21,06
653;-20,72
655;-20,63
658;-20,35
660;-20,23
662;-20,23
664;-19,91
667;-19,68
669;-19,55
671;-19,51
673;-19,26
675;-18,99
678;-18,86
680;-18,71
682;-18,57
684;-18,12
686;-17,8
689;-17,72
691;-17,52
693;-16,96
695;-16,96
697;-17,01
699;-16,75
701;-16,58
704;-16,55
706;-16,94
708;-16,53
710;-16,35
712;-16,65
714;-16,47
716;-16,37
718;-16,43
720;-16,37
722;-16,37
724;-16,1
727;-16,06
729;-16,02
731;-16,25
733;-16,52
735;-16,72
737;-16,75
739;-16,95
742;-16,9
744;-16,95
746;-17,18
748;-17,18
750;-17,37
752;-17,07
754;-17,34
757;-17,41
759;-17,45
761;-17,65
763;-17,76
765;-17,88
768;-17,96
770;-18,19
772;-17,99
775;-18,27
777;-18,38
779;-18,5
782;-18,65
784;-18,76
786;-19,08
788;-19,19
791;-19,07
793;-19,15
795;-19,34
797;-19,34
800;-19,46
802;-19,46
804;-19,69
806;-19,61
809;-19,64
811;-19,38
813;-19,49
815;-19,53
818;-19,57
820;-19,65
822;-19,61
825;-19,6
827;-19,6
829;-19,49
832;-19,44
834;-19,52
