;Manaus;TT_Prba
01/10/2014;2341;2365,5
02/10/2014;2324;2349
03/10/2014;2309;2333
04/10/2014;2293;2316,5
05/10/2014;2277;2300,5
06/10/2014;2260;2284,5
07/10/2014;2242;2267,5
08/10/2014;2224;2250
09/10/2014;2201;2233,5
10/10/2014;2182;2216,5
11/10/2014;2168;2198,5
12/10/2014;2154;2183
13/10/2014;2139;2166
14/10/2014;2127;2153
15/10/2014;2109;2138
16/10/2014;2092;2124,5
17/10/2014;2072;2109,5
18/10/2014;2062;2095,5
19/10/2014;2052;2083
20/10/2014;2043;2069,5
21/10/2014;2030;2054,5
22/10/2014;2022;2048,5
23/10/2014;2011;2037
24/10/2014;2006;2031
25/10/2014;2001;2024,5
26/10/2014;1997;2022
27/10/2014;1993;2019,5
28/10/2014;1990;2020,5
29/10/2014;1990;2020
30/10/2014;1991;2020
31/10/2014;1994;2020
01/11/2014;1995;2021,5
02/11/2014;1996;2022
03/11/2014;1996;2022,5
04/11/2014;1998;2024
05/11/2014;2000;2024,5
06/11/2014;2003;2027
07/11/2014;2007;2028,5
08/11/2014;2009;2029,5
09/11/2014;2010;2029,5
10/11/2014;2011;2032,5
11/11/2014;2012;2035
12/11/2014;2013;2036
13/11/2014;2014;2036
14/11/2014;2014;2037
15/11/2014;2015;2038,5
16/11/2014;2016;2042
17/11/2014;2018;2043,5
18/11/2014;2020;2044,5
19/11/2014;2021;2045,5
20/11/2014;2022;2048
21/11/2014;2024;2050,5
22/11/2014;2026;2051,5
23/11/2014;2028;2055
24/11/2014;2031;2058,5
25/11/2014;2034;2061
26/11/2014;2037;2065
27/11/2014;2041;2068,5
28/11/2014;2045;2076
29/11/2014;2051;2082,5
30/11/2014;2057;2088,5
01/12/2014;2065;2096
02/12/2014;2071;2099
03/12/2014;2078;2104
04/12/2014;2084;2108,5
05/12/2014;2091;2113
06/12/2014;2097;2117,5
07/12/2014;2103;2122,5
08/12/2014;2108;2126
09/12/2014;2113;2129
10/12/2014;2117;2133
11/12/2014;2120;2141,5
12/12/2014;2124;2145
13/12/2014;2127;2148,5
14/12/2014;2129;2151
15/12/2014;2131;2152
16/12/2014;2133;2154
17/12/2014;2134;2155,5
18/12/2014;2135;2157,5
19/12/2014;2137;2158,5
20/12/2014;2139;2163
21/12/2014;2140;2165
22/12/2014;2141;2166
23/12/2014;2145;2166,5
24/12/2014;2146;2168
25/12/2014;2148;2169,5
26/12/2014;2150;2172,5
27/12/2014;2154;2176
28/12/2014;2158;2179
29/12/2014;2163;2180,5
30/12/2014;2167;2182,5
31/12/2014;2169;2185
01/01/2015;2171;2188
02/01/2015;2174;2189
03/01/2015;2175;2192,5
04/01/2015;2177;2194
05/01/2015;2179;2198
06/01/2015;2181;2201,5
07/01/2015;2185;2205
08/01/2015;2189;2210
09/01/2015;2194;2217
10/01/2015;2198;2220,5
11/01/2015;2203;2227
12/01/2015;2208;2232
13/01/2015;2213;2240
14/01/2015;2220;2246
15/01/2015;2227;2251,5
16/01/2015;2232;2258
17/01/2015;2240;2263
18/01/2015;2248;2268
19/01/2015;2257;2274
20/01/2015;2268;2282
21/01/2015;2281;2289
22/01/2015;2289;2296
23/01/2015;2297;2305
24/01/2015;2303;2315
25/01/2015;2309;2323,5
26/01/2015;2316;2332
27/01/2015;2323;2339
28/01/2015;2329;2347,5
29/01/2015;2335;2354,5
30/01/2015;2340;2361
31/01/2015;2345;2367,5
01/02/2015;2351;2376
02/02/2015;2357;2385
03/02/2015;2365;2395
04/02/2015;2372;2401,5
05/02/2015;2380;2409,5
06/02/2015;2389;2415,5
07/02/2015;2394;2422
08/02/2015;2399;2428
09/02/2015;2405;2432
10/02/2015;2412;2437
11/02/2015;2418;2443
12/02/2015;2422;2449
13/02/2015;2427;2453,5
14/02/2015;2432;2459
15/02/2015;2437;2465
16/02/2015;2443;2469
17/02/2015;2449;2473
18/02/2015;2456;2477
19/02/2015;2461;2480,5
20/02/2015;2465;2483,5
21/02/2015;2469;2486,5
22/02/2015;2472;2490
23/02/2015;2475;2497
24/02/2015;2479;2502
25/02/2015;2483;2506
26/02/2015;2488;2510
27/02/2015;2493;2514
28/02/2015;2496;2518
01/03/2015;2499;2522
02/03/2015;2503;2527
03/03/2015;2506;2531,5
04/03/2015;2510;2536,5
05/03/2015;2516;2541,5
06/03/2015;2521;2544,5
07/03/2015;2525;2551
08/03/2015;2530;2555,5
09/03/2015;2535;2559,5
10/03/2015;2540;2564,5
11/03/2015;2545;2570,5
12/03/2015;2549;2574,5
13/03/2015;2555;2579
14/03/2015;2560;2583,5
15/03/2015;2565;2590
16/03/2015;2571;2595,5
17/03/2015;2577;2601
18/03/2015;2583;2608
19/03/2015;2589;2614
20/03/2015;2596;2622
21/03/2015;2603;2631
22/03/2015;2610;2637
23/03/2015;2618;2645
